id,mesin,value,created_at,next_processes,std_mp,std_ct,stroke_ratio,harga_pcs,alias_values
05da606b-5ebe-4b8d-b258-ca221becc67a,transfer_800t,61161-0D170-001,2026-07-17 06:35:11.487156+00,[],null,0.09384615384615384,1,10780.75,[]
4db0ce20-b4a8-4a3f-94e8-51647ea77159,transfer_800t,61162-0D170-001,2026-07-17 06:35:11.487156+00,[],null,0.09384615384615384,1,10780.75,[]
58d5182b-c2a9-47da-ad2d-553400fb79eb,transfer_800t,61231-KK040-001,2026-07-17 06:35:11.487156+00,[],null,0.10080267558528427,1,24810.1,[]
863be8a5-0d9c-438c-9051-14689d4d3079,transfer_800t,61232-KK040-001,2026-07-17 06:35:11.487156+00,[],null,0.10080267558528427,1,24810.1,[]
201b7736-b288-4dbe-bc48-39f47524110f,transfer_800t,61233-KK010,2026-07-17 06:35:11.487156+00,[],null,0.09384615384615384,1,27149.44,[]
53bb26e8-202b-4450-98f2-653f28da80ec,transfer_800t,61234-KK010,2026-07-17 06:35:11.487156+00,[],null,0.09384615384615384,1,27149.44,[]
23aea162-a2f3-426b-85ad-841052206f2e,transfer_800t,63126-KK010,2026-07-17 06:35:11.487156+00,[],null,0.09384615384615384,1,25097.76,[]
03ca884b-e3a6-41f1-9da8-5b469fcd1e41,transfer_800t,67175-KK010,2026-07-21 01:12:07.288115+00,[],null,0.04692307692307692,0.5,13706.22,[]
90175465-6db2-41d7-a1c8-ac23d9d81069,transfer_800t,67176-KK010,2026-07-21 01:12:07.288115+00,[],null,0.04692307692307692,0.5,13706.22,[]
c5d76f5b-2aae-4dc4-91c3-87ab51dcb1fa,transfer_800t,67337-KK030,2026-07-21 01:12:07.288115+00,[],null,0.05040133779264214,0.5,3687.46,[]
99807825-00a1-4a04-bcc0-f87046c83257,transfer_800t,67338-KK030,2026-07-21 01:12:07.288115+00,[],null,0.05040133779264214,0.5,3687.46,[]
e432aeb9-f80b-43aa-bb52-558507aadadb,transfer_800t,74U00-CN405S,2026-08-04 03:46:50.342859+00,[],null,0.20500000000000002,1,null,[]
